????????;????????;????????.;????????.;?;?????????????
4;2;3;2;0;0
10;9;5;3;10;2
7;5;3;1;8;6
10;8;10;1;4;6
10;7;4;2;12;3
10;8;2;1;5;14
NaN;NaN;NaN;NaN;NaN;NaN
10;9;4;1;14;1
10;8;6;2;8;1
10;6;0;2;10;1
10;5;1;1;11;3
10;6;3;3;12;2
9;6;3;1;0;0
10;7;4;2;10;4
9;7;1;1;4;0
10;7;1;1;8;3
NaN;NaN;NaN;NaN;NaN;NaN
10;7;3;2;9;20
10;8;6;1;5;6
10;10;3;1;6;3
10;5;4;2;15;2
10;9;11;2;5;0
10;10;4;2;14;3
9;7;4;1;2;1
10;9;1;1;6;1
10;10;4;2;10;3
10;7;3;2;14;8
10;7;5;1;2;3
10;7;6;1;2;5
10;10;8;1;8;2
10;6;3;2;4;1
10;7;2;2;10;0
NaN;NaN;NaN;NaN;NaN;NaN
10;9;4;1;6;0
10;7;3;1;4;1
10;8;4;4;14;12
8;7;2;2;10;0
10;10;7;1;8;0
10;9;6;2;11;10
9;9;5;2;11;0
10;8;3;2;6;1
10;7;7;3;10;3
10;8;19;4;13;10
10;5;8;2;13;6
10;7;4;1;4;2
9;7;4;2;0;6
10;10;7;4;14;12
8;6;6;1;6;5
10;9;4;2;11;11
10;8;6;3;15;7
10;5;4;2;7;5
10;8;9;3;10;6
10;8;2;1;9;5
10;8;3;1;9;6
10;7;4;2;7;0
10;6;0;2;10;5
10;6;1;3;13;3
10;6;2;3;14;23
10;7;5;2;12;9
10;9;0;1;5;0
10;8;3;1;5;0
10;7;3;2;7;14
10;7;3;2;6;13
10;8;1;2;7;0
10;7;0;1;4;3
10;8;6;2;1;3
10;8;3;2;4;0
10;10;8;1;2;0
